beta,gamma,delta,gait
-0.014,-0.03,-0.022,Pace
-0.01,-0.03,-0.022,Pace
-0.006,-0.03,-0.022,Pace
-0.002,-0.03,-0.022,Pace
0.002,-0.03,-0.022,Pace
0.006,-0.03,-0.022,Pace
0.01,-0.03,-0.022,Pace
-0.038,-0.026,-0.022,Walk
-0.034,-0.026,-0.022,Walk
-0.03,-0.026,-0.022,Walk
-0.026,-0.026,-0.022,Walk
-0.022,-0.026,-0.022,Walk
-0.018,-0.026,-0.022,Walk
-0.014,-0.026,-0.022,Pace
-0.01,-0.026,-0.022,Pace
-0.006,-0.026,-0.022,Pace
-0.002,-0.026,-0.022,Pace
0.002,-0.026,-0.022,Pace
0.006,-0.026,-0.022,Pace
0.01,-0.026,-0.022,Pace
-0.038,-0.022,-0.022,Walk
-0.034,-0.022,-0.022,Walk
-0.03,-0.022,-0.022,Walk
-0.026,-0.022,-0.022,Walk
-0.022,-0.022,-0.022,Walk
-0.018,-0.022,-0.022,Walk
-0.014,-0.022,-0.022,Walk
-0.01,-0.022,-0.022,Pace
-0.006,-0.022,-0.022,Pace
-0.002,-0.022,-0.022,Pace
0.002,-0.022,-0.022,Pace
0.006,-0.022,-0.022,Pace
0.01,-0.022,-0.022,Pace
-0.038,-0.018,-0.022,Walk
-0.034,-0.018,-0.022,Walk
-0.03,-0.018,-0.022,Walk
-0.026,-0.018,-0.022,Walk
-0.022,-0.018,-0.022,Walk
-0.018,-0.018,-0.022,Walk
-0.014,-0.018,-0.022,Walk
-0.01,-0.018,-0.022,Pace
